,serviceid,providerid,timestamp,microcell,latitude,longitude,speed,throughput,bandwidth,coverage,reliability,security,latency,currect_microcell
0,100002,P1000002,2023-02-19,M102,-33.89055,151.27523,4.0,4.41,4.18,3.71,3.94,4.94,4.29,M102
1,100003,P1000003,2024-01-25,M104,-33.864532,151.207611,4.84,4.79,4.63,4.95,4.89,5.0,4.89,M104
2,100006,P1000006,2024-03-03,M107,-33.75470594557184,151.1497291880052,4.2,4.44,4.22,4.44,4.44,4.33,4.0,M107
3,100009,P1000009,2024-02-11,M110,-33.828972923308115,151.2163312332427,5.0,5.0,4.83,4.83,5.0,5.0,5.0,M110
4,100013,P1000012,2024-03-09,M113,-33.8017879,151.1765299,5.0,4.94,4.88,5.0,5.0,4.88,5.0,M113
5,100016,P1000015,2024-03-09,M114,-33.91571,151.17268,4.6,4.73,4.47,4.87,4.93,4.47,4.6,M114
6,100017,P1000016,2024-02-24,M103,-33.82763,151.08623,4.33,4.5,4.5,4.83,5.0,4.67,3.83,M103
7,100018,P1000017,2024-02-25,M102,-33.89055,151.27523,5.0,5.0,5.0,5.0,5.0,5.0,4.83,M102
8,100024,P1000023,2019-01-02,M103,-33.82763,151.08623,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M103
9,100025,P1000024,2024-03-04,M104,-33.864532,151.207611,5.0,5.0,5.0,5.0,5.0,5.0,4.89,M104
10,100034,P1000033,2024-02-22,M117,-33.94207,151.22432,4.54,4.46,4.5,4.96,4.69,4.88,4.5,M117
11,100036,P1000035,2024-01-04,M119,-33.88101,151.22511,4.25,4.58,4.0,4.83,4.83,4.92,4.33,M119
12,100041,P1000040,2024-02-19,M121,-34.06962515485486,150.78094538396644,4.8,4.9,4.7,5.0,4.9,4.9,4.8,M121
13,100042,P1000041,2024-03-15,M104,-33.864532,151.207611,4.92,4.92,5.0,5.0,5.0,4.96,4.88,M104
14,100044,P1000043,2019-10-31,M114,-33.91571,151.17268,5.0,5.0,3.86,5.0,5.0,5.0,5.0,M114
15,100050,P1000048,2024-01-03,M108,-33.649899388892656,151.2796016585502,3.0,3.5,3.0,5.0,5.0,4.5,3.0,M108
16,100051,P1000049,2024-02-24,M115,-33.75122,151.25772,4.07,4.2,4.47,4.67,4.6,4.33,4.0,M115
17,100054,P1000043,2024-01-14,M104,-33.864532,151.207611,4.55,4.73,4.24,4.89,4.95,4.9,4.69,M104
18,100055,P1000052,2024-03-03,M119,-33.88101,151.22511,4.78,4.78,4.67,4.78,4.89,4.89,4.67,M119
19,100058,P1000055,2023-10-23,M102,-33.89055,151.27523,4.83,4.83,4.83,4.83,5.0,5.0,4.83,M102
20,100059,P1000056,2024-01-28,M103,-33.82763,151.08623,1.0,1.0,1.0,2.0,1.0,1.0,1.0,M103
21,100061,P1000058,2024-01-15,M107,-33.75470594557184,151.1497291880052,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M107
22,100063,P1000060,2024-02-18,M123,-33.6860173,150.8958334,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M123
23,100065,P1000062,2024-01-27,M115,-33.75122,151.25772,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M115
24,100069,P1000065,2024-02-25,M103,-33.82763,151.08623,4.79,4.79,4.86,4.86,4.86,4.79,4.57,M103
25,100070,P1000066,2023-12-16,M108,-33.649899388892656,151.2796016585502,5.0,5.0,5.0,5.0,5.0,5.0,4.0,M108
26,100077,P1000073,2024-03-05,M104,-33.864532,151.207611,3.67,3.67,3.67,4.33,4.33,4.33,3.67,M104
27,100078,P1000074,2023-05-30,M104,-33.864532,151.207611,4.6,4.8,4.44,4.64,4.68,4.88,4.52,M104
28,100080,P1000076,2024-02-08,M119,-33.88101,151.22511,4.69,4.63,4.44,4.81,4.81,4.69,4.44,M119
29,100081,P1000077,2024-03-12,M123,-33.6860173,150.8958334,4.71,4.86,4.57,5.0,5.0,4.43,4.71,M123
30,100082,P1000078,2024-01-03,M127,-33.8909571,151.1195413,4.0,5.0,4.0,4.0,5.0,4.0,4.0,M127
31,100083,P1000079,2024-02-26,M104,-33.864532,151.207611,4.7,4.83,4.8,4.87,4.83,4.78,4.65,M104
32,100089,P1000085,2024-03-12,M110,-33.828972923308115,151.2163312332427,4.9,5.0,4.97,4.93,4.97,5.0,4.83,M110
33,100093,P1000089,2023-08-26,M105,-33.79585,151.28527,5.0,4.98,4.94,4.98,5.0,5.0,4.81,M105
34,100095,P1000090,2024-02-17,M115,-33.75122,151.25772,4.64,4.56,4.36,4.82,4.72,4.96,4.42,M115
35,100097,P1000074,2024-01-02,M104,-33.864532,151.207611,4.29,4.0,3.57,4.71,5.0,5.0,3.86,M104
36,100100,P1000094,2024-02-10,M113,-33.8017879,151.1765299,4.7,4.65,4.59,4.81,4.84,4.86,4.65,M113
37,100101,P1000085,2024-02-17,M107,-33.75470594557184,151.1497291880052,4.92,4.84,4.95,4.89,4.97,4.71,4.66,M107
38,100102,P1000095,2024-02-17,M108,-33.649899388892656,151.2796016585502,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M108
39,100103,P1000096,2024-03-17,M103,-33.82763,151.08623,4.89,4.75,4.63,4.88,4.88,4.88,4.5,M103
40,100108,P1000016,2024-02-23,M103,-33.82763,151.08623,4.92,5.0,4.92,5.0,5.0,4.92,4.85,M103
41,100112,P1000104,2022-10-30,M125,-33.80662,151.15517,5.0,4.92,5.0,5.0,5.0,4.77,4.92,M125
42,100113,P1000105,2024-02-25,M130,-33.8513269,151.0609753,4.58,4.83,5.0,4.17,4.75,4.5,4.5,M130
43,100114,P1000106,2024-02-16,M103,-33.82763,151.08623,4.65,4.87,4.83,4.95,4.95,4.73,4.52,M103
44,100115,P1000107,2024-03-02,M114,-33.91571,151.17268,4.88,4.96,4.8,4.68,5.0,4.84,4.92,M114
45,100117,P1000109,2023-04-11,M131,-33.8388,151.23511,4.65,4.87,4.65,4.61,4.87,4.96,4.39,M131
46,100120,P1000073,2024-01-04,M104,-33.864532,151.207611,3.6,4.2,3.8,4.2,4.2,4.6,3.8,M104
47,100122,P1000112,2024-02-06,M129,-33.9279519,151.1552776,4.5,4.83,4.5,4.83,4.83,5.0,4.5,M129
48,100123,P1000113,2024-03-07,M104,-33.864532,151.207611,5.0,5.0,4.5,5.0,5.0,5.0,4.0,M104
49,100130,P1000120,2024-01-12,M115,-33.75122,151.25772,4.0,4.0,1.0,5.0,5.0,4.0,3.0,M115
50,100133,P1000123,2024-03-14,M108,-33.649899388892656,151.2796016585502,4.8,4.8,4.89,4.93,4.89,4.91,4.82,M108
51,100140,P1000129,2024-02-25,M108,-33.649899388892656,151.2796016585502,4.83,4.67,4.83,5.0,5.0,5.0,4.67,M108
52,100143,P1000132,2023-12-18,M104,-33.864532,151.207611,4.13,4.0,4.0,4.13,3.75,4.5,3.88,M104
53,100145,P1000133,2021-01-25,M115,-33.75122,151.25772,4.5,4.0,4.0,5.0,5.0,5.0,5.0,M115
54,100149,P1000137,2023-03-21,M118,-33.716291,151.1083268,5.0,5.0,5.0,5.0,5.0,4.33,5.0,M118
55,100151,P1000003,2023-07-10,M128,-33.78071975708008,151.11386108398438,4.75,4.58,4.58,4.67,5.0,4.58,4.75,M128
56,100152,P1000085,2024-03-16,M130,-33.8513269,151.0609753,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M130
57,100155,P1000132,2024-03-09,M119,-33.88101,151.22511,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M119
58,100156,P1000055,2024-01-03,M102,-33.89055,151.27523,5.0,5.0,5.0,4.83,4.67,5.0,5.0,M102
59,100160,P1000107,2024-03-15,M104,-33.864532,151.207611,4.92,4.95,4.86,4.89,4.98,4.98,4.83,M104
60,100164,P1000147,2024-03-11,M131,-33.8388,151.23511,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M131
61,100165,P1000148,2024-02-28,M103,-33.82763,151.08623,4.89,4.9,4.95,4.82,4.92,4.77,4.87,M103
62,100166,P1000149,2024-03-09,M109,-33.92552,151.25489,4.83,4.65,4.76,4.78,4.85,4.72,4.59,M109
63,100170,P1000073,2024-02-15,M104,-33.864532,151.207611,4.26,4.39,3.96,4.79,4.59,4.76,4.26,M104
64,100173,P1000155,2023-10-30,M104,-33.864532,151.207611,4.51,4.71,4.6,4.57,4.54,4.83,4.47,M104
65,100184,P1000107,2024-02-29,M133,-33.9410801,151.100121,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M133
66,100185,P1000166,2024-01-02,M120,-33.94157370178417,150.79405669122934,3.4,4.2,3.4,4.6,4.6,3.8,3.0,M120
67,100186,P1000167,2024-02-27,M130,-33.8513269,151.0609753,4.75,4.75,4.63,4.5,4.88,4.88,4.13,M130
68,100192,P1000106,2024-02-22,M104,-33.864532,151.207611,4.68,4.75,4.8,4.82,4.8,4.73,4.5,M104
69,100193,P1000149,2024-03-12,M102,-33.89055,151.27523,4.75,4.7,4.78,4.83,4.8,4.8,4.73,M102
70,100194,P1000132,2023-12-02,M104,-33.864532,151.207611,5.0,5.0,4.0,5.0,4.0,5.0,4.0,M104
71,100197,P1000048,2024-02-21,M108,-33.649899388892656,151.2796016585502,4.44,4.89,4.44,5.0,4.89,4.89,3.89,M108
72,100200,P1000175,2024-01-05,M130,-33.8513269,151.0609753,4.74,4.87,4.87,4.65,4.91,4.87,4.7,M130
73,100205,P1000095,2024-02-03,M108,-33.649899388892656,151.2796016585502,4.91,4.73,4.77,4.91,4.77,5.0,4.68,M108
74,100207,P1000095,2023-07-12,M108,-33.649899388892656,151.2796016585502,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M108
75,100209,P1000095,2023-11-18,M108,-33.649899388892656,151.2796016585502,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M108
76,100211,P1000003,2024-01-08,M110,-33.828972923308115,151.2163312332427,4.71,4.65,4.53,4.76,4.82,4.88,4.53,M110
77,100212,P1000181,2024-02-23,M104,-33.864532,151.207611,4.67,4.67,4.67,4.67,4.67,4.67,4.67,M104
78,100215,P1000184,2024-03-10,M123,-33.6860173,150.8958334,4.94,4.69,4.63,4.75,4.81,4.81,4.75,M123
79,100219,P1000187,2020-08-11,M126,-33.92749,151.12542,4.2,4.2,3.2,4.8,5.0,4.8,4.8,M126
80,100226,P1000193,2024-02-28,M104,-33.864532,151.207611,4.79,4.75,4.43,4.79,4.93,4.79,4.57,M104
81,100229,P1000196,2020-12-09,M113,-33.8017879,151.1765299,4.33,4.33,4.33,5.0,4.67,4.67,4.33,M113
82,100231,P1000198,2024-03-09,M114,-33.91571,151.17268,4.5,4.75,4.75,4.75,4.63,4.94,4.56,M114
83,100238,P1000205,2024-02-23,M109,-33.92552,151.25489,5.0,4.67,4.67,5.0,5.0,5.0,4.33,M109
84,100241,P1000207,2024-03-02,M118,-33.716291,151.1083268,4.81,4.9,4.96,4.98,4.96,4.61,4.8,M118
85,100247,P1000213,2024-02-22,M102,-33.89055,151.27523,5.0,4.83,5.0,5.0,5.0,5.0,4.67,M102
86,100248,P1000055,2024-01-21,M102,-33.89055,151.27523,5.0,5.0,4.6,4.8,5.0,5.0,4.8,M102
87,100253,P1000076,2023-10-02,M109,-33.92552,151.25489,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M109
88,100255,P1000219,2024-03-01,M104,-33.864532,151.207611,4.6,4.75,4.75,4.75,4.75,5.0,4.5,M104
89,100258,P1000016,2024-03-02,M130,-33.8513269,151.0609753,4.75,4.86,4.71,4.57,5.0,4.71,4.71,M130
90,100264,P1000227,2024-03-16,M135,-33.87585,151.10469,5.0,4.5,4.5,5.0,4.5,5.0,4.5,M135
91,100268,P1000231,2023-10-01,M114,-33.91571,151.17268,4.6,4.8,4.7,4.7,4.9,4.5,4.5,M114
92,100271,P1000049,2024-03-02,M123,-33.6860173,150.8958334,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M123
93,100272,P1000234,2024-02-27,M130,-33.8513269,151.0609753,4.92,4.92,4.92,4.92,5.0,5.0,4.92,M130
