serviceid,providerid,gen_microcell,latitude,longitude,timestamp,speed,latency,bandwidth,coverage,reliability,security,origin,true_label,true_label_spa,true_label_bma
100002,P1000002,M102,-33.89055,151.27523,2023-02-19,4.0,4.29,4.18,3.71,3.94,4.94,G,C,C,C
100003,P1000003,M104,-33.864532,151.207611,2024-01-25,4.84,4.89,4.63,4.95,4.89,5.0,G,C,C,C
100006,P1000006,M107,-33.75470594557184,151.1497291880052,2024-03-03,4.2,4.0,4.22,4.44,4.44,4.33,G,C,C,C
100009,P1000009,M110,-33.828972923308115,151.2163312332427,2024-02-11,5.0,5.0,4.83,4.83,5.0,5.0,G,C,C,C
100013,P1000012,M113,-33.8017879,151.1765299,2024-03-09,5.0,5.0,4.88,5.0,5.0,4.88,G,C,C,C
100016,P1000015,M114,-33.91571,151.17268,2024-03-09,4.6,4.6,4.47,4.87,4.93,4.47,G,C,C,C
100017,P1000016,M103,-33.82763,151.08623,2024-02-24,4.33,3.83,4.5,4.83,5.0,4.67,G,C,C,C
100018,P1000017,M102,-33.89055,151.27523,2024-02-25,5.0,4.83,5.0,5.0,5.0,5.0,G,C,C,C
100024,P1000023,M103,-33.82763,151.08623,2019-01-02,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100025,P1000024,M104,-33.864532,151.207611,2024-03-04,5.0,4.89,5.0,5.0,5.0,5.0,G,C,C,C
100034,P1000033,M117,-33.94207,151.22432,2024-02-22,4.54,4.5,4.5,4.96,4.69,4.88,G,C,C,C
100036,P1000035,M119,-33.88101,151.22511,2024-01-04,4.25,4.33,4.0,4.83,4.83,4.92,G,C,C,C
100041,P1000040,M121,-34.06962515485486,150.78094538396644,2024-02-19,4.8,4.8,4.7,5.0,4.9,4.9,G,C,C,C
100042,P1000041,M104,-33.864532,151.207611,2024-03-15,4.92,4.88,5.0,5.0,5.0,4.96,G,C,C,C
100044,P1000043,M114,-33.91571,151.17268,2019-10-31,5.0,5.0,3.86,5.0,5.0,5.0,G,C,C,C
100050,P1000048,M108,-33.649899388892656,151.2796016585502,2024-01-03,3.0,3.0,3.0,5.0,5.0,4.5,G,C,C,C
100051,P1000049,M115,-33.75122,151.25772,2024-02-24,4.07,4.0,4.47,4.67,4.6,4.33,G,C,C,C
100054,P1000043,M104,-33.864532,151.207611,2024-01-14,4.55,4.69,4.24,4.89,4.95,4.9,G,C,C,C
100055,P1000052,M119,-33.88101,151.22511,2024-03-03,4.78,4.67,4.67,4.78,4.89,4.89,G,C,C,C
100058,P1000055,M102,-33.89055,151.27523,2023-10-23,4.83,4.83,4.83,4.83,5.0,5.0,G,C,C,C
100059,P1000056,M103,-33.82763,151.08623,2024-01-28,1.0,1.0,1.0,2.0,1.0,1.0,G,C,C,C
100061,P1000058,M107,-33.75470594557184,151.1497291880052,2024-01-15,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100063,P1000060,M123,-33.6860173,150.8958334,2024-02-18,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100065,P1000062,M115,-33.75122,151.25772,2024-01-27,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100069,P1000065,M103,-33.82763,151.08623,2024-02-25,4.79,4.57,4.86,4.86,4.86,4.79,G,C,C,C
100070,P1000066,M108,-33.649899388892656,151.2796016585502,2023-12-16,5.0,4.0,5.0,5.0,5.0,5.0,G,C,C,C
100077,P1000073,M104,-33.864532,151.207611,2024-03-05,3.67,3.67,3.67,4.33,4.33,4.33,G,C,C,C
100078,P1000074,M104,-33.864532,151.207611,2023-05-30,4.6,4.52,4.44,4.64,4.68,4.88,G,C,C,C
100080,P1000076,M119,-33.88101,151.22511,2024-02-08,4.69,4.44,4.44,4.81,4.81,4.69,G,C,C,C
100081,P1000077,M123,-33.6860173,150.8958334,2024-03-12,4.71,4.71,4.57,5.0,5.0,4.43,G,C,C,C
100082,P1000078,M127,-33.8909571,151.1195413,2024-01-03,4.0,4.0,4.0,4.0,5.0,4.0,G,C,C,C
100083,P1000079,M104,-33.864532,151.207611,2024-02-26,4.7,4.65,4.8,4.87,4.83,4.78,G,C,C,C
