serviceid,providerid,microcell,latitude,longitude,timestamp,speed,latency,bandwidth,coverage,reliability,security,currect_microcell,origin,true_label
100002,P1000002,M102,-33.89055,151.27523,2023-02-19,4.0,4.29,4.18,3.71,3.94,4.94,M102,G,C
100427,P1000033,M102,-33.89055,151.27523,2024-02-23,4.54,4.58,4.52,4.87,4.83,4.95,M102,G,C
100568,P1000076,M102,-33.89055,151.27523,2024-01-04,4.25,4.0,4.25,4.5,5.0,5.0,M102,G,C
100579,P1000076,M102,-33.89055,151.27523,2024-02-25,4.58,4.33,4.58,4.92,4.83,4.75,M102,G,C
100591,P1000002,M102,-33.89055,151.27523,2024-02-24,4.4,4.29,4.36,4.81,4.48,4.81,M102,G,C
100791,P1000076,M102,-33.89055,151.27523,2024-02-17,4.68,4.32,4.95,4.95,4.84,4.74,M102,G,C
101286,P1000035,M102,-33.89055,151.27523,2024-03-08,4.91,4.72,4.91,4.69,4.91,4.88,M102,G,C
101460,P1000684,M102,-33.89055,151.27523,2024-03-07,4.66,4.59,4.58,4.85,4.92,4.95,M102,G,C
101619,P1001181,M102,-33.89055,151.27523,2024-01-01,5.0,5.0,5.0,5.0,5.0,5.0,M102,G,C
101731,P1000035,M102,-33.89055,151.27523,2024-01-05,2.0,3.0,3.0,5.0,5.0,5.0,M102,G,C
101812,P1000351,M102,-33.89055,151.27523,2024-03-14,4.63,4.28,4.65,4.48,4.87,4.91,M102,G,C
101999,P1000351,M102,-33.89055,151.27523,2024-03-06,4.73,4.64,4.77,4.91,4.91,4.95,M102,G,C
102209,P1000351,M102,-33.89055,151.27523,2024-03-14,4.7,4.66,4.58,4.88,4.9,4.99,M102,G,C
102667,P1000035,M102,-33.89055,151.27523,2024-03-09,4.46,4.5,4.76,4.76,4.54,4.87,M102,G,C
103020,P1000684,M102,-33.89055,151.27523,2024-02-28,4.75,4.38,4.63,3.75,4.5,5.0,M102,G,C
103469,P1000198,M102,-33.89055,151.27523,2024-02-18,4.65,4.6,4.57,4.76,4.82,4.8,M102,G,C
103633,P1000351,M102,-33.89055,151.27523,2023-12-31,4.5,4.08,4.17,4.92,5.0,5.0,M102,G,C
103676,P1000351,M102,-33.89055,151.27523,2024-03-04,4.57,4.51,4.48,4.91,4.86,4.99,M102,G,C
103805,P1001181,M102,-33.89055,151.27523,2024-03-01,4.0,4.33,4.33,4.67,5.0,5.0,M102,G,C
104036,P1000112,M102,-33.89055,151.27523,2023-12-31,4.5,4.25,4.75,4.75,4.75,5.0,M102,G,C
104119,P1000569,M102,-33.89055,151.27523,2024-03-13,4.44,4.42,4.39,4.86,4.69,4.89,M102,G,C
104477,P1000351,M102,-33.89055,151.27523,2024-01-27,4.71,4.14,4.14,4.9,4.71,4.86,M102,G,C
104831,P1000351,M102,-33.89055,151.27523,2024-02-11,4.7,4.7,4.74,4.88,4.9,4.86,M102,G,C
105677,P1000076,M102,-33.89055,151.27523,2024-01-07,5.0,4.67,4.67,5.0,5.0,5.0,M102,G,C
105734,P1000351,M102,-33.89055,151.27523,2024-03-12,4.67,4.44,4.54,4.51,4.87,4.95,M102,G,C
106438,P1000198,M102,-33.89055,151.27523,2024-03-12,4.52,4.52,4.24,4.81,4.67,4.76,M102,G,C
106591,P1001181,M102,-33.89055,151.27523,2024-02-01,3.86,4.0,4.29,4.14,4.43,4.57,M102,G,C
106729,P1000033,M102,-33.89055,151.27523,2024-02-25,5.0,4.78,4.89,5.0,5.0,5.0,M102,G,C
106822,P1000002,M102,-33.89055,151.27523,2024-02-18,2.67,2.67,3.0,4.0,2.67,5.0,M102,G,C
106899,P1000033,M102,-33.89055,151.27523,2024-01-15,4.43,4.33,4.16,4.94,4.86,4.92,M102,G,C
106937,P1000002,M102,-33.89055,151.27523,2024-03-08,4.42,4.32,4.42,4.42,4.63,4.79,M102,G,C
107040,P1000076,M102,-33.89055,151.27523,2024-01-22,4.36,4.07,4.43,4.93,4.5,4.86,M102,G,C
107090,P1000002,M102,-33.89055,151.27523,2024-02-25,3.71,3.29,4.14,4.43,4.29,4.57,M102,G,C
107424,P1000424,M102,-33.89055,151.27523,2024-02-26,4.65,4.52,4.81,4.76,4.8,4.81,M102,G,C
107969,P1000002,M102,-33.89055,151.27523,2024-01-28,4.44,4.25,4.25,4.81,4.56,4.75,M102,G,C
107997,P1000002,M102,-33.89055,151.27523,2024-02-16,4.65,4.42,4.42,4.84,4.55,4.9,M102,G,C
108014,P1000076,M102,-33.89055,151.27523,2024-01-12,4.0,3.5,5.0,3.5,4.5,4.5,M102,G,C
108278,P1000002,M102,-33.89055,151.27523,2024-02-10,4.6,3.8,4.8,5.0,4.7,4.9,M102,G,C
108452,P1000076,M102,-33.89055,151.27523,2024-02-09,4.8,4.6,4.6,4.9,5.0,4.9,M102,G,C
108659,P1000033,M102,-33.89055,151.27523,2024-02-25,4.5,4.45,4.52,4.84,4.68,4.98,M102,G,C
108668,P1000076,M102,-33.89055,151.27523,2024-02-10,4.5,4.33,4.5,4.83,4.67,4.67,M102,G,C
108726,P1000002,M102,-33.89055,151.27523,2024-01-06,4.88,4.63,4.81,4.94,4.81,4.94,M102,G,C
108787,P1000076,M102,-33.89055,151.27523,2023-11-26,4.71,4.57,5.0,5.0,4.86,5.0,M102,G,C
108829,P1000002,M102,-33.89055,151.27523,2024-02-25,5.0,5.0,5.0,5.0,5.0,5.0,M102,G,C
108858,P1000033,M102,-33.89055,151.27523,2024-02-26,4.75,4.69,4.38,4.75,4.88,5.0,M102,G,C
108879,P1000077,M102,-33.89055,151.27523,2024-03-11,3.0,4.0,2.0,5.0,3.0,5.0,M102,G,C
108909,P1000002,M102,-33.89055,151.27523,2023-06-05,4.14,4.16,3.62,4.49,4.24,4.78,M102,G,C
108930,P1000076,M102,-33.89055,151.27523,2024-03-04,4.67,4.5,4.75,4.67,4.67,4.96,M102,G,C
108934,P1000076,M102,-33.89055,151.27523,2024-02-11,4.69,4.38,4.54,4.69,4.69,4.92,M102,G,C
