,tampering_type,tampering_percentage,method,accuracy,precision,recall,AUC_all,AUC_R,AUC_G
0,K,10,IsolationForest,0.40089581137527414,0.5060453830823489,0.08863413344350377,,,
1,K,10,LOF,0.43672424104207,0.6737509622210995,0.11956897338525382,,,
2,K,10,OCSVM,0.44165807637686183,0.6172709803493904,0.19080945032713742,,,
3,K,10,TDA,0.8679633873324686,0.9217735372434437,0.8495507213787632,0.7312705405671697,0.8905719877837942,0.7312705405671697
4,K,20,IsolationForest,0.39161916229439775,0.5442219660518687,0.0933206015572618,,,
5,K,20,LOF,0.4157237664663446,0.6569799913218125,0.11345258206539735,,,
6,K,20,OCSVM,0.4371157023352828,0.644869398202796,0.20295949742749747,,,
7,K,20,TDA,0.8632709987154461,0.9221386750160322,0.8452748629464866,0.7388370737071771,0.8759060969103265,0.7388370737071771
8,K,30,IsolationForest,0.3701746387609091,0.5867582126971511,0.09626239861798418,,,
9,K,30,LOF,0.38320532241632604,0.6496348879649884,0.1060030662958007,,,
10,K,30,OCSVM,0.4142802804410282,0.668093007486977,0.19504359059160023,,,
11,K,30,TDA,0.8619183950548299,0.9304279061469563,0.8472473376583487,0.7389610993668545,0.8574197111897313,0.7389610993668545
12,K,40,IsolationForest,0.34911020217287747,0.5981909516019058,0.09451021366483645,,,
13,K,40,LOF,0.3624667364188366,0.661617057609929,0.10444560712714372,,,
14,K,40,OCSVM,0.3949583441994342,0.6850688265823222,0.1871111976207312,,,
15,K,40,TDA,0.8608120425009474,0.9388795419310981,0.8438856335581694,0.7554116961659603,0.8433450787621375,0.7554116961659603
16,K,50,IsolationForest,0.3463856808988845,0.6169837298778664,0.09701803817042799,,,
17,K,50,LOF,0.3544798451479659,0.6578556902693666,0.10211727301634237,,,
18,K,50,OCSVM,0.38958810852612524,0.6861974189964457,0.18891727815442746,,,
19,K,50,TDA,0.8648367230034192,0.9408762625542441,0.8520543930144576,0.7467322288425295,0.8432786956348566,0.7467322288425295
20,K,60,IsolationForest,0.33156336196027786,0.6164083231014633,0.0949683304513449,,,
21,K,60,LOF,0.3372237656761381,0.6447980172248132,0.09874155973141337,,,
22,K,60,OCSVM,0.3784855801230726,0.698952075449521,0.1846082432104091,,,
23,K,60,TDA,0.8639783277245252,0.9482926816246442,0.8476026179827741,0.7508522493733291,0.8355139507621661,0.7508522493733291
24,K,70,IsolationForest,0.32882771464871285,0.6083027019913045,0.09285644349648918,,,
25,K,70,LOF,0.33520267472735826,0.6393145425308883,0.09748881687808983,,,
26,K,70,OCSVM,0.3787573739100401,0.7002190948372097,0.1863593814594164,,,
27,K,70,TDA,0.8622731956592055,0.9447973058931927,0.84996892073135,0.7444611222895192,0.8350835227442482,0.7444611222895192
28,K,80,IsolationForest,0.31977184915054907,0.6282608250731866,0.09425818948148484,,,
29,K,80,LOF,0.3224568449928516,0.644272764416544,0.0959590933087914,,,
30,K,80,OCSVM,0.35950003845732037,0.6981934244793888,0.16723515407199077,,,
31,K,80,TDA,0.8603111856566078,0.9492458042696706,0.8454812623816348,0.7533921811712322,0.8275407499777233,0.7533921811712322
32,K,90,IsolationForest,0.3134734653736116,0.6374472258411993,0.09499398752846408,,,
33,K,90,LOF,0.31511624061763366,0.6491529547723957,0.0959373084523511,,,
34,K,90,OCSVM,0.3602660928437067,0.713983359004326,0.17671687611328177,,,
35,K,90,TDA,0.8589868051416663,0.9491980762424412,0.8469438570780069,0.7371399568040153,0.8239748776197654,0.7371399568040153
36,N,10,IsolationForest,0.3348635292010266,0.1859235853934994,0.033392400227815325,,,
37,N,10,LOF,0.30749628205505547,0.05819049388040426,0.01028055378177035,,,
38,N,10,OCSVM,0.3683845805042914,0.3571317803164038,0.12313931069596079,,,
39,N,10,TDA,0.8738212202333165,0.9205968281516904,0.8599912153687744,0.8324595267003849,0.9122935866688535,0.8324595267003849
40,N,20,IsolationForest,0.31583135435123344,0.1926053665043702,0.034038272616126714,,,
41,N,20,LOF,0.2931479420565273,0.08756860477810319,0.015331622300949694,,,
42,N,20,OCSVM,0.34759344047040364,0.35109109712540504,0.10965449376649855,,,
43,N,20,TDA,0.8736273925664623,0.9243090323884255,0.864160058246434,0.8263489154713636,0.8966914229307208,0.8263489154713636
44,N,30,IsolationForest,0.29477596825470637,0.2210050116987412,0.03771578474654815,,,
45,N,30,LOF,0.2674904875105835,0.09477189523757934,0.0157210327328123,,,
46,N,30,OCSVM,0.34865140832770236,0.4489833122989695,0.1347183931328165,,,
47,N,30,TDA,0.8754696560144765,0.9328216023446576,0.8686209074791554,0.8436444864392524,0.8771280513098417,0.8436444864392524
48,N,40,IsolationForest,0.26882689198615894,0.20928915492123354,0.03448919913195507,,,
49,N,40,LOF,0.24629264745406848,0.10579125376358314,0.016983004613500125,,,
50,N,40,OCSVM,0.35552410715869714,0.5108136770752121,0.16761266734237318,,,
51,N,40,TDA,0.875104594012329,0.9429120081687943,0.864477277965538,0.8276449142773885,0.8616477364503132,0.8276449142773885
52,N,50,IsolationForest,0.26059683321029037,0.20471549950548046,0.03360732841081999,,,
53,N,50,LOF,0.23884013310629992,0.10618746486136584,0.01664753286778781,,,
54,N,50,OCSVM,0.35964485476626484,0.5374689962666687,0.17314479912518563,,,
55,N,50,TDA,0.8750606552742485,0.9403366583614883,0.868396590842267,0.8138058413189725,0.8573547268734701,0.8138058413189725
56,N,60,IsolationForest,0.24812000727032496,0.20363946217111603,0.03278748782701894,,,
57,N,60,LOF,0.2269450175968414,0.10739013833794028,0.016590533663266245,,,
58,N,60,OCSVM,0.35311796445204924,0.5520542965451254,0.17513351947457742,,,
59,N,60,TDA,0.8713623602968343,0.9425254485592969,0.864207856907196,0.8226176832062569,0.850436252417338,0.8226176832062569
60,N,70,IsolationForest,0.2312867316880228,0.18771340156700078,0.029073078122863503,,,
61,N,70,LOF,0.20910353318091826,0.0881912340223132,0.013319239994820285,,,
62,N,70,OCSVM,0.3233431877991685,0.510286729453311,0.15165430931562338,,,
